Mesocosm;Clim;Ferti;Plant;H;NMP;PO4;DOC;MBC;NO3;NH4;TDN;DON;MBN;MBP;AG;BG;CB;XYL;LAP;NAG;PHOS;SIR;DEA;NEA;pH;SOM;BBM_MS;ABM_MS;ABM_MF;Soil_N;Soil_C;ABM_N;ABM_C;BBM_N;BBM_C;BBM_CN;ABM_CN;St_ABM_N;St_ABM_C;St_BBM_N;St_BBM_C;NP.Mic;CP.Mic;CN.Mic;NP.min;DNP;DCP;DCN;EEC;EEN;EEP;EEA;DCN.MicCN;DCP.MicCP;DNP.MicNP;logCN.Mic;logNO3;logNH4;logDON;MF_Mic_mean;Ascomycota;Basidiomycota;Blastocladiomycota;Chytridiomycota;Mucoromycota;Olpidiomycota;Zoopagomycota;Unknown.x;Fungi_shannon;Fungi_Richness;Acidobacteria;Actinobacteria;Armatimonadetes;Bacteroidetes;Chlamydiae;Chloroflexi;Cyanobacteria;Deinococcus-Thermus;Elusimicrobia;Firmicutes;Fusobacteria;Gemmatimonadetes;Ignavibacteriae;Nitrospirae;Planctomycetes;Proteobacteria;Spirochaetes;Tenericutes;Verrucomicrobia;Unknown.y;GP;GN;GPGN;Bact_shannon;Bact_Richness
1;Drought;F;NP;0.174;1.624315878;2.248185222;85.6169752;282.3994579;102.2786578;45.43339957;220.8023948;73.09033749;177.437805;11.950084;19.13599081;360.4548691;98.50578311;97.91452153;414.6324209;155.6029607;947.1385187;14.14989498;1.439285282;0.9725;5.5;0.089588378;NA;NA;NA;0.480057091;3.929241896;NA;NA;NA;NA;NA;NA;0;0;0;0;14.8482475102267;23.6315876859108;1.59154052824312;65.7027970491659;98.2136136468208;38.0827052692013;0.387753834271366;576.01116455;570.2353816;947.1385187;2093.38506485;0.243634282250671;1.61151699899987;6.6144919512674;0.952252497438369;4.6374307507142;3.83801901860622;4.30528512555384;0.00914781094405346;0.393285833493805;0.36303143120012;4.27926482230353e-05;0.0607441641525986;0.124419624708475;0.00902924877506044;0.0319233155743844;0.0175235894473336;3.14369853805415;188;0.0696025873908998;0.227149882592707;0;0.0735013955961189;0.00194940410260954;0.0186522528908777;4.43046386956714e-05;4.43046386956714e-05;8.86092773913429e-05;0.0272473527978379;0;0.0457223871339329;0;0.0142217890213105;0.0382349031943644;0.282840813433166;0.000177218554782686;0;0.152230738558327;0.0482920561782822;0.273093792920119;0.678569846262903;0.402454949072865;5.79022545197993;1320
2;Drought;NF;P;0.138613861;2.180774494;0.475026957;50.54861276;528.8369082;16.35681231;1.419319627;52.38382115;34.60768921;64.76736134;14.49826793;21.81890756;488.9089835;134.9804187;133.7463932;540.1008449;204.6042183;1357.158855;14.98356306;2.165008718;0.6025;5.68;0.087356322;0.08;0.39;2.33;0.428570151;3.563556671;4.733273029;46.67176056;1.343862414;29.20475769;21.7319551359965;9.86035672864203;0.4614941203275;4.5504966546;0.02687724828;0.5840951538;4.467248201834;36.4758680659863;8.16517605872254;37.4213119383033;110.275470429776;106.412093072015;0.964966122178355;779.45470296;744.7050632;1357.158855;2881.31862116;0.118180687744941;2.91732859871933;24.6853242639402;2.21541109100597;2.85398506967564;0.883486354771918;3.57256160358065;0.198632232835565;0.361274014155713;0.413346814964611;0;0.0156218402426694;0.145702730030334;0.00313447927199191;0.0478260869565217;0.01309403437816;2.76379522132886;159;0.0426653670639316;0.288378893270125;0.000132913916087014;0.116521199769616;0.0012405298834788;0.0212219219352266;4.43046386956714e-05;0;0.000443046386956714;0.0116964246156573;0;0.0351778831243631;0;0.0164813255947897;0.0227725842895751;0.305967834832307;0.000221523193478357;0;0.101989278277436;0.0350449692082763;0.321297239821009;0.643613486332019;0.499208370620224;5.88094559220697;1408
3;Normal;NF;NP;0.25498008;1.736287477;0.634663597;70.93917115;541.0017405;21.76905081;0.152139037;57.4986905;35.57750065;94.71940802;19.20951846;32.51192196;513.5475862;123.1566103;140.5578723;532.1188608;194.0889655;1271.472836;15.40364363;1.83653208;0.635576923;5.82;0.093582888;NA;NA;NA;0.405088395;3.421747446;NA;NA;NA;NA;NA;NA;0;0;0;0;4.9308580127729;28.1632119840239;5.71162501760745;34.5398569425119;90.5971143953921;111.774444737847;1.23375281303146;809.77399076;726.2078263;1271.472836;2807.45465306;0.216007320023306;3.96881026216945;18.3734989246718;1.90384110014411;3.12540219321642;0.141620246831303;3.59943331504067;0.380158392131692;0.647579237855607;0.165232742177671;0;0.0459396940059251;0.108274826508664;0.0130879428594619;0.00695994480743476;0.012925611785236;3.14266870572036;176;0.049488281423065;0.194142926764432;4.43046386956714e-05;0.112312259093527;0.00199370874130521;0.0194940410260954;0;0;0.00137344379956581;0.0115192060608746;0;0.0696911966682912;0;0.0222409286252271;0.015639537459572;0.359797970847548;0.000575960303043729;4.43046386956714e-05;0.107615967391786;0.0340259625182755;0.225156173851402;0.740773558991627;0.303947368421053;5.88277293721691;1335
4;Normal;NF;P;0.235528942;1.918827364;0.710634564;49.43461792;498.9621751;5.242321314;-0.27080412;15.19018668;10.21866949;100.79919;12.73282761;21.86647393;461.835295;128.2991665;123.2325769;575.8143789;189.8410709;1166.220875;15.66253301;2.106251161;0.44;6.04;0.08616188;0.18;0.47;3.32;0.423108816;3.520212173;4.825952053;43.3351593;0.715593398;23.55924225;32.9226657426485;8.97960833926255;0.5670493662275;5.09188121775;0.03220170291;1.06016590125;7.91648116878887;39.1870675063667;4.95006135565177;6.9958843065787;21.3755247063947;69.5640494064119;3.25437856435876;735.23351233;765.6554498;1166.220875;2667.10983713;0.657442065974203;1.77517874730253;2.7001295462773;1.78340153137862;1.83135211865318;-0.315812886221018;2.41757930928397;0.186262527632648;0.506815869786368;0.176703967446592;0.000508646998982706;0.0438453713123092;0.168972533062055;0.0797558494404883;0.00844354018311291;0.0149542217700918;3.65390351224644;154;0.0425324531478446;0.252226308094458;8.86092773913429e-05;0.106818483895264;0.0012405298834788;0.02210801470914;0;0;0.00128483452217447;0.00939258340348234;0;0.0655708652695937;0;0.0180319879491382;0.0167914580656595;0.349209162199282;0.000221523193478357;8.86092773913428e-05;0.0828496743609056;0.0315449027513183;0.28372690620708;0.684639581764211;0.414417912379473;5.93433338927012;1351
5;Drought;F;P;0.136904762;3.021080355;3.195402299;66.10902334;445.960959;55.72040471;31.54882511;147.9572121;60.68798224;70.00696655;6.937822005;19.41543001;420.2915334;125.7600056;104.9277177;437.2764553;166.2831116;1167.80489;12.46759253;1.616988146;1.409285714;5.49;0.087356322;0.24;1.77;9.96;0.480699986;3.679758549;4.354113579;44.03222656;0.919543624;24.44567299;26.5845712503141;10.1127877720895;1.9266952587075;19.4842602528;0.05517261744;1.4667403794;10.0906259197118;64.2796772068528;6.37023686323401;27.3108740790826;46.303156302511;20.6887950730613;0.446811766737797;670.39468671;603.5595669;1167.80489;2441.75914361;0.0701405263776899;0.321855926663797;4.58872984400886;1.99744984452253;4.03813401742409;3.48274127307226;4.12208913463022;-0.198498704750937;0.331022917831191;0.443040804918949;0.000335382895472331;0.0343208496366686;0.146338736724427;0.00190050307434321;0.0190050307434321;0.0240357741755178;3.2270270648286;172;0.0462983474369766;0.351911745159718;4.43046386956714e-05;0.0811217934517744;0.00115192060608746;0.0182978157813123;0;4.43046386956714e-05;8.86092773913428e-05;0.0150192725178326;0;0.031146161003057;0;0.0117407292543529;0.02507642550175;0.291657436533605;0.000132913916087014;0;0.0940587479509105;0.0322094723317532;0.385273138097559;0.582517389570688;0.661393367812595;5.83688656734026;1330
6;Normal;NF;P;0.264;2.233530742;1.351935972;53.22233939;552.8188194;8.071868916;-0.403620485;24.7777639;17.10951547;105.7090805;17.11838954;24.78607763;503.540853;124.0287128;128.5461408;580.0870895;151.3963055;1311.520236;15.49952647;2.188522786;0.403;5.94;0.08423913;0.25;1.01;6.63;0.468231112;3.794712067;4.53019762;44.10047531;0.636075854;22.19171906;34.8884789769115;9.73477958561993;1.14387489905;11.135370015775;0.039754740875;1.38698244125;6.17517671583492;32.293856738582;5.22962470948747;5.67205000075255;18.3276164057864;39.3675000090907;2.14798799459059;780.90178423;731.483395;1311.520236;2823.90541523;0.410734634684924;1.21903990371202;2.96795010882671;1.82931609173731;2.20517829758647;-0.516878044434637;2.89643751670582;0.414900335502844;0.240999006123561;0.688243403545895;0;0.018563047032798;0.043345836940143;0.00278926613446186;0.00208393446827611;0.00397550575486516;1.88550790575464;142;0.0509060298613265;0.192104913384431;0;0.108679278720482;0.00283549687652297;0.0231270213991405;4.43046386956714e-05;4.43046386956714e-05;0.00172788090913119;0.0124939081121793;0;0.0591466926587213;4.43046386956714e-05;0.0239245048956626;0.0174117230073989;0.377431217048425;0.000753178857826414;4.43046386956714e-05;0.0980018607948251;0.0312790749191441;0.227770147534447;0.740817863630322;0.307457687937324;5.97365221437683;1410
7;Drought;F;P;0.118577075;0;3.109533712;90.17307588;308.735342;70.52260249;38.28178774;155.3809859;46.57659561;37.0053642;7.942996711;10.31153919;213.3318493;41.43664159;66.68954172;289.5108486;111.6520953;983.3079404;10.73701315;1.636593589;0.775;5.6;0.080717489;0.52;1.06;4.44;0.485805035;3.925648451;3.617310524;43.60436249;0.725161731;16.14197159;22.2598227401495;12.0543597793707;0.95858728886;11.55515605985;0.09427102503;2.0984563067;4.65886686680261;38.8688744604971;8.34298887943386;34.9905806809918;49.9692237779476;28.9989060199004;0.580335330978229;331.7695718;401.1629439;983.3079404;1716.2404561;0.069559643356208;0.74607012480828;10.7256174530356;2.23462620955365;4.27001351848622;3.67076099517972;3.86234095145322;-0.828319245658397;0.509915686973043;0.248426552665955;0;0.035981474884218;0.156632228951431;0.00380002375014844;0.0186438665241658;0.026600166251039;3.38631119619076;146;0.0451907314695849;0.30122723849187;4.43046386956714e-05;0.0826281511674272;0.00110761596739179;0.0254751672500111;0.000177218554782685;0;8.86092773913428e-05;0.0227725842895751;0;0.040184307296974;0;0.012405298834788;0.0299056311195783;0.27810021709273;0.000265827832174029;4.43046386956714e-05;0.127420140888751;0.0329626511895794;0.349474990031456;0.617340835585486;0.566097315917899;5.8221644228839;1395
8;Normal;NF;NP;0.262626263;2.119349905;1.254958087;62.58671456;494.4460477;32.84832612;0.058907541;57.01398342;24.10674976;120.6190368;17.46699333;22.4006595;403.7509533;95.86923525;106.6836224;425.9591958;160.2120925;1095.794469;14.9332791;2.009317862;0.707857143;5.7;0.087671233;NA;NA;NA;0.528172851;3.915046215;NA;NA;NA;NA;NA;NA;0;0;0;0;6.90554089769038;28.3074504214058;4.09923724162917;26.2217790393824;45.4309861106939;49.871557630753;1.09774323430355;628.70447045;586.1712883;1095.794469;2310.67022775;0.267792071938553;1.76178203576542;6.57891782610233;1.62909096808013;3.52188954820945;0.0572377549701356;3.22313672472769;0.323898054743152;0.431489330605086;0.361937299035369;0.000182695118386437;0.0635048231511254;0.10937956737796;0.00964630225080386;0.0172098801520023;0.0066501023092671;3.12098762699151;147;0.0427096717026273;0.228523326392273;0;0.100837357671348;0.00101900669000044;0.0194054317487041;0;4.43046386956714e-05;0.000886092773913429;0.0117850338930486;0;0.0618049709804616;0;0.0150192725178326;0.0191396039165301;0.342120420007975;0.000221523193478357;0;0.121616233219618;0.0348677506534937;0.259758096672722;0.705374152673785;0.368255762828968;5.87297161576347;1377
9;Drought;NF;P;0.137254902;2.088790131;0.334131574;51.80267046;435.0229008;27.61195057;0.852685227;31.24918898;2.784553183;68.44313076;12.87287608;21.65711327;452.7737772;127.0535422;126.6160182;516.3173901;180.3157623;953.4498944;14.70717089;2.243941062;0.3825;5.85;0.093181818;0.09;0.48;3.18;0.431483626;3.715711594;4.342760086;43.38307953;0.730791211;32.82322693;44.914643794204;9.98974814884582;0.52113121032;5.2059695436;0.0164428022475;0.738522605925;5.31684841325685;33.7937612462436;6.35597606318499;85.1899012602742;93.5236039082017;155.036741484359;1.65772847715039;728.10045087;696.6331524;953.4498944;2378.18349767;0.260814147295529;4.58773263960349;17.5900451995233;1.99551305268362;3.35382448264783;0.616636060774025;1.33092783051548;-0.0543903885915789;0.307927420919853;0.504657481078983;0;0.0162526683485348;0.123811372016301;0.00126140112555793;0.0231418591111974;0.0229477973995731;2.58587415038902;171;0.0406273536839307;0.306056444109698;4.43046386956714e-05;0.112755305480484;0.0015506623543485;0.0219307961543574;8.86092773913428e-05;0;0.000531655664348057;0.00877231846174295;0;0.0293296708165345;0;0.0145319214921802;0.0211776172965309;0.317132603783616;0.000132913916087014;4.43046386956714e-05;0.0941916618669975;0.0311018563643614;0.336759558725799;0.632005670993753;0.532842621801612;5.90179847837113;1428
10;Normal;F;NP;0.246492986;1.462022871;3.453442863;69.44527261;535.1528496;81.90301995;39.80367726;136.2981603;14.59146307;157.0757447;9.50579041;7.077415059;304.3411708;72.23840357;70.37659639;313.0610476;121.9393257;851.8531443;12.50280907;1.314207991;0.507692308;5.59;0.071808511;NA;NA;NA;0.462331355;3.453293562;NA;NA;NA;NA;NA;NA;0;0;0;0;16.5242171271479;56.2975645914751;3.40697318113686;35.2421343100704;39.4673274488746;20.1089971269057;0.509509977663286;454.033585819;435.0003733;851.8531443;1740.887103419;0.149549160082695;0.357191243934391;2.38845369467054;1.48318810032667;4.41767149030765;3.70877220627032;2.74672352536296;-0.150071625341981;0.46234964574065;0.323753030624014;0;0.0934256055363323;0.0966033472212414;0.0087799825812678;0.00543746910528918;0.00965091919120542;3.45728420872252;156;0.0457666917726286;0.238358956182712;0;0.100881662310044;0.00177218554782686;0.021709272960879;0;0;0.000221523193478357;0.0194497363873998;0;0.0536529174604581;0;0.0202472198839218;0.0199813920517478;0.324221345974924;0.000177218554782686;4.43046386956714e-05;0.120552921890922;0.0329626511895795;0.279517965530991;0.687475078640734;0.406586324676162;5.83482463839275;1304
